品类,尺码,胸围cm,腰围cm,臀围cm,肩宽cm,衣长cm,适合身高cm,适合体重kg
男装T恤,S,92,78,96,42,68,160-165,50-60
男装T恤,M,96,82,100,43,70,165-170,60-70
男装T恤,L,100,86,104,44,72,170-175,70-80
男装T恤,XL,104,90,108,45,74,175-180,80-90
男装T恤,XXL,108,94,112,46,76,180-185,90-100
女装牛仔裤,25,76,60,84,,-,150-160,40-45
女装牛仔裤,26,80,64,88,,-,155-165,45-50
女装牛仔裤,27,84,68,92,,-,160-170,50-55
女装牛仔裤,28,88,72,96,,-,165-175,55-60
女装牛仔裤,29,92,76,100,,-,170-175,60-65
女装牛仔裤,30,96,80,104,,-,170-180,65-70
运动跑鞋,35,--,--,--,--,22.0,,-
运动跑鞋,36,--,--,--,--,22.5,,-
运动跑鞋,37,--,--,--,--,23.0,,-
运动跑鞋,38,--,--,--,--,23.5,,-
运动跑鞋,39,--,--,--,--,24.0,,-
运动跑鞋,40,--,--,--,--,25.0,,-
运动跑鞋,41,--,--,--,--,25.5,,-
运动跑鞋,42,--,--,--,--,26.0,,-
运动跑鞋,43,--,--,--,--,26.5,,-
运动跑鞋,44,--,--,--,--,27.0,,-
运动跑鞋,45,--,--,--,--,27.5,,-
童装冲锋衣,100,60,56,64,28,42,95-105,14-18
童装冲锋衣,110,64,60,68,30,46,105-115,18-22
童装冲锋衣,120,68,64,72,32,50,115-125,22-28
童装冲锋衣,130,72,68,76,34,54,125-135,28-34
童装冲锋衣,140,76,72,80,36,58,135-145,34-40
童装冲锋衣,150,80,76,84,38,62,145-155,40-48
